scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,194.1525,161.0761,0.9990,211.7993,201.1016,0.9958,220.2546,174.4095,0.9991,239.6985,208.8853,0.9998,242.0396,184.6768,0.9988,256.6433,217.8197,0.9990,227.1298,151.5025,0.9989,227.4663,186.8517,0.9983,240.9433,172.0680,0.9996,249.9313,200.7848,0.9984,260.6880,180.7669,0.9955,274.9401,206.4618,0.9970
1,194.0652,161.0859,0.9990,211.7143,201.0723,0.9959,220.2606,174.2897,0.9993,239.6829,209.0636,0.9998,242.0652,184.6814,0.9987,256.4628,217.8626,0.9994,227.2565,151.6887,0.9984,227.5248,186.9012,0.9978,241.1648,172.1414,0.9995,249.9779,201.1028,0.9968,260.8021,180.9394,0.9939,274.9395,206.5138,0.9967
2,194.1358,161.0761,0.9989,211.6930,200.8103,0.9980,220.3120,174.3132,0.9993,239.6293,209.0437,0.9998,242.1096,184.7236,0.9985,256.4493,217.9421,0.9994,227.3549,151.8047,0.9976,227.6114,186.9381,0.9974,241.2740,172.2908,0.9992,249.9303,201.1941,0.9962,260.8553,181.1115,0.9930,274.9352,206.6353,0.9990
3,193.9369,161.2448,0.9993,211.6677,201.0354,0.9965,220.2755,174.5122,0.9988,239.5944,209.1876,0.9998,242.1108,184.7904,0.9984,256.2878,218.1180,0.9995,227.1177,151.8428,0.9980,227.6593,187.1766,0.9958,241.1292,172.3157,0.9993,249.9015,201.3057,0.9993,260.7835,181.1597,0.9940,274.9137,206.6873,0.9990
4,193.9044,161.2551,0.9994,211.5111,201.0649,0.9960,220.2500,174.4640,0.9990,239.6078,209.1384,0.9998,241.9924,184.7048,0.9989,256.2499,217.9075,0.9996,227.1726,151.8179,0.9981,227.6514,187.1222,0.9964,241.0580,172.3222,0.9993,249.8983,201.2595,0.9957,260.7444,181.0699,0.9944,275.0311,206.5152,0.9964
5,193.7122,161.1966,0.9996,211.7847,201.1128,0.9953,220.1073,174.4049,0.9991,239.4810,209.1655,0.9999,241.9736,184.7508,0.9989,256.0431,218.0479,0.9997,227.3105,151.9258,0.9973,227.6140,187.1856,0.9956,241.0668,172.1474,0.9995,249.7768,201.4592,0.9995,260.5406,180.9868,0.9965,274.7101,206.7394,0.9995
6,193.6613,161.1714,0.9997,211.8167,201.0084,0.9963,220.0055,174.3595,0.9992,239.4942,209.1133,0.9999,241.9528,184.7079,0.9990,256.0434,217.8318,0.9998,227.1685,151.9143,0.9977,227.6423,187.1547,0.9960,241.0460,172.2110,0.9994,249.8471,201.2884,0.9994,260.6710,181.0060,0.9955,274.8607,206.4750,0.9972
7,193.7267,161.3007,0.9996,211.7902,201.2917,0.9998,220.0145,174.4987,0.9988,239.4622,209.3145,0.9999,241.9940,184.8102,0.9987,255.9069,217.9592,0.9998,227.1360,152.0194,0.9972,227.6204,187.2816,0.9989,241.0477,172.3098,0.9993,249.8743,201.4772,0.9994,260.7220,181.0898,0.9950,274.8732,206.5256,0.9968
