scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,193.3692,161.5551,0.9992,209.4374,196.4989,1.0000,217.0614,174.2127,0.9994,237.5107,204.8466,0.9998,241.4913,184.1093,0.9994,257.3077,219.2341,0.9999,228.0992,151.3902,0.9989,229.3852,187.8585,0.9997,241.6749,174.2979,0.9992,248.3067,198.9776,0.9980,259.4080,182.4223,0.9999,273.6270,212.2141,0.9997
1,193.5210,161.3299,0.9995,209.6490,196.3973,1.0000,217.2181,174.0434,0.9992,237.5831,204.8594,0.9997,241.5905,184.0339,0.9993,257.2150,219.3029,1.0000,228.2794,151.4724,0.9986,229.6156,187.8061,0.9995,241.9688,174.2723,0.9988,248.5024,199.0360,0.9971,259.5858,182.4752,0.9998,273.4861,212.3379,0.9996
2,193.5918,161.2933,0.9995,209.3694,196.4415,1.0000,217.3084,174.1102,0.9989,237.4173,205.0136,0.9998,241.4354,184.0487,0.9995,257.1426,219.4846,0.9999,228.6244,151.6368,0.9977,229.6591,187.9009,0.9994,242.0421,174.4215,0.9984,248.4882,199.0942,0.9972,259.6470,182.5885,0.9998,273.5269,212.4032,0.9995
3,193.9358,161.4216,0.9991,209.0878,196.6199,0.9990,217.1524,174.0564,0.9994,237.2354,204.9618,0.9999,241.3264,184.0422,0.9996,257.1053,219.4094,0.9999,228.3716,151.5249,0.9984,229.5339,188.1183,0.9995,241.9203,174.4441,0.9987,248.3872,199.0869,0.9979,259.5549,182.6008,0.9999,273.5411,212.3214,0.9997
4,193.8986,161.4155,0.9991,209.0704,196.6517,0.9991,217.2252,174.1486,0.9991,237.2353,204.9716,0.9999,241.2638,184.0980,0.9997,257.1535,219.2799,1.0000,228.4939,151.3971,0.9988,229.6210,188.2003,0.9994,241.8951,174.5433,0.9986,248.4037,199.2121,0.9975,259.5304,182.6326,0.9999,273.4569,212.3262,0.9997
5,194.1219,161.1637,0.9991,209.2264,196.5173,0.9986,217.1966,173.8684,0.9993,237.0105,204.9276,1.0000,241.1876,183.8395,0.9998,256.9124,219.2541,1.0000,228.6880,151.3166,0.9988,229.4311,188.1116,0.9996,241.9250,174.3836,0.9988,248.2349,199.0441,0.9986,259.4718,182.4576,0.9999,273.5980,212.0901,0.9998
6,193.9045,161.1615,0.9993,209.3112,196.5400,0.9982,217.2695,173.9184,0.9991,237.1569,204.9729,0.9999,241.2252,183.8006,0.9997,257.0851,219.3535,1.0000,228.5333,151.3344,0.9989,229.3550,188.1026,0.9997,241.8882,174.3652,0.9989,248.3035,199.0858,0.9983,259.4136,182.4313,0.9999,273.4390,212.1534,0.9998
7,193.9914,161.3105,0.9991,209.2934,196.7094,0.9983,217.3082,174.0728,0.9989,237.2042,205.1517,0.9999,241.3432,184.0202,0.9996,256.9426,219.4992,0.9999,228.5456,151.4044,0.9987,229.4101,188.3195,0.9995,242.0370,174.5290,0.9983,248.4284,199.2430,0.9975,259.5317,182.6071,0.9999,273.5865,212.3760,0.9996
