scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,209.4932,119.3239,0.9999,225.4419,140.3034,0.9992,233.0336,125.4591,0.9994,246.4603,143.8374,0.9976,252.8811,129.5055,0.9990,267.4259,151.1486,0.9999,221.8101,101.8193,0.9969,225.8285,127.7442,0.9999,244.4980,118.1319,0.9998,252.5847,134.3190,0.9987,263.9761,122.7854,0.9995,275.0414,138.1895,0.9982
1,209.4268,119.4748,0.9998,225.1991,140.2554,0.9996,232.9558,125.5078,0.9992,246.4259,143.8025,0.9981,252.8774,129.5659,0.9989,267.4089,151.1040,0.9999,221.7928,101.7945,0.9971,225.6664,127.7571,0.9999,244.3948,118.1084,0.9998,252.4556,134.3135,0.9992,263.9142,122.7746,0.9995,275.0357,138.1882,0.9982
2,209.3109,119.3615,0.9953,225.1672,140.1381,0.9997,232.9360,125.4183,0.9995,246.4100,143.7778,0.9983,252.9207,129.5335,0.9990,267.3157,151.1111,0.9967,221.8885,101.8505,0.9963,225.6697,127.7943,0.9999,244.3269,118.0471,0.9999,252.4412,134.3181,0.9992,263.8875,122.7446,0.9996,275.0103,138.1788,0.9982
3,209.4129,119.3736,0.9998,225.2570,140.3480,0.9995,232.9621,125.5789,0.9990,246.4292,143.9281,0.9969,252.8199,129.6011,0.9942,267.3320,151.1604,0.9964,221.8159,101.8508,0.9967,225.7388,127.8679,0.9999,244.3313,118.1821,0.9998,252.4326,134.3959,0.9993,263.9181,122.7829,0.9995,275.0202,138.1798,0.9983
4,209.3750,119.3992,0.9998,225.3286,140.3554,0.9994,232.9564,125.5565,0.9991,246.5466,143.9286,0.9970,252.8902,129.5553,0.9989,267.3835,151.0489,1.0000,221.8463,101.8860,0.9963,225.7709,127.8790,0.9999,244.3596,118.1925,0.9998,252.6262,134.3786,0.9985,263.9512,122.7926,0.9994,275.0220,138.0552,0.9989
5,209.2680,119.3081,0.9958,225.2598,140.3861,0.9995,232.9959,125.5184,0.9992,246.6275,143.9817,0.9999,253.0633,129.5421,0.9990,267.3466,151.0604,0.9999,221.7689,101.8651,0.9968,225.7397,127.8865,0.9999,244.4003,118.1873,0.9998,252.7001,134.3718,0.9981,263.8371,122.7719,0.9995,274.9014,138.0511,0.9989
6,209.2401,119.3282,0.9961,225.2595,140.4806,0.9994,233.0272,125.5843,0.9990,246.6863,144.0783,0.9999,253.1049,129.5990,0.9986,267.4680,151.1658,0.9999,221.8216,101.8718,0.9966,225.8389,127.9149,0.9999,244.4472,118.2527,0.9998,252.8029,134.4136,0.9974,263.8893,122.8528,0.9993,274.9677,138.1307,0.9985
7,209.2382,119.2751,0.9962,225.2666,140.4777,0.9993,233.0227,125.5372,0.9991,246.6687,143.9996,0.9999,253.0446,129.5268,0.9989,267.4877,151.1262,0.9999,221.7820,101.8893,0.9966,225.8434,127.8150,0.9999,244.4310,118.2287,0.9998,252.8136,134.3506,0.9974,263.9752,122.8271,0.9994,274.9944,138.0499,0.9990
