scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,210.8200,118.4448,0.9970,223.6120,142.2761,0.9952,233.1446,124.3978,0.9970,246.2270,144.9821,0.9983,254.0391,131.0244,0.9979,268.1646,151.7587,0.9984,221.5385,101.6935,0.9991,226.8646,126.5978,0.9994,243.6246,117.9512,0.9982,251.5228,134.5382,0.9999,265.0601,122.9209,0.9966,275.9426,139.8344,0.9995
1,210.7969,118.3961,0.9973,223.4767,142.1305,0.9970,233.1091,124.3701,0.9972,246.3004,144.8742,0.9988,254.1938,130.9741,0.9977,268.1431,151.6460,0.9989,221.3939,101.6434,0.9993,226.6790,126.6119,0.9996,243.6179,117.9456,0.9981,251.5282,134.5497,0.9999,265.0744,122.8676,0.9970,275.8209,139.7592,0.9996
2,210.7418,118.2977,0.9978,223.2674,142.0922,0.9977,233.0764,124.2851,0.9979,246.3648,144.8648,0.9988,254.2267,130.8941,0.9978,267.9041,151.5309,0.9994,221.4421,101.5658,0.9993,226.6792,126.5216,0.9996,243.6752,117.8894,0.9978,251.6290,134.5033,0.9999,264.9467,122.8045,0.9978,275.7841,139.6741,0.9971
3,210.7775,118.3850,0.9974,223.2945,142.1297,0.9975,233.0748,124.3409,0.9974,246.4070,144.8686,0.9988,254.2436,130.9501,0.9976,268.1070,151.5366,0.9993,221.4347,101.5892,0.9993,226.6915,126.5626,0.9996,243.6847,117.9329,0.9978,251.6336,134.5487,0.9999,265.0853,122.8521,0.9970,276.0186,139.7656,0.9993
4,210.7337,118.4017,0.9976,223.3327,142.1575,0.9972,233.0873,124.3869,0.9969,246.4411,144.8425,0.9988,254.2747,130.9490,0.9975,268.2046,151.4650,0.9993,221.3829,101.6625,0.9992,226.6289,126.6193,0.9996,243.7104,117.9499,0.9976,251.6473,134.5167,0.9999,265.0314,122.8324,0.9974,275.9843,139.7299,0.9962
5,210.8312,118.5265,0.9965,223.3540,142.2837,0.9960,233.2040,124.4517,0.9959,246.5683,144.9113,0.9984,254.3972,131.0171,0.9967,268.3625,151.5009,0.9990,221.3615,101.6837,0.9992,226.6897,126.6053,0.9995,243.7845,117.9872,1.0000,251.7522,134.5512,0.9999,265.0230,122.8660,0.9971,276.1403,139.7601,0.9989
6,210.8520,118.4773,0.9966,223.2613,142.3215,0.9957,233.2412,124.4089,0.9964,246.6177,144.9257,0.9983,254.4824,131.0085,0.9960,268.4230,151.5547,0.9988,221.4993,101.6601,0.9991,226.8082,126.6132,0.9994,243.8124,117.9805,1.0000,251.7291,134.5314,0.9999,265.0493,122.8587,0.9972,276.1793,139.7512,0.9951
7,210.8419,118.5009,0.9964,223.2547,142.2754,0.9962,233.2683,124.3876,0.9966,246.6227,144.9127,0.9983,254.5826,130.9650,0.9952,268.3619,151.5687,0.9989,221.5222,101.6154,0.9991,226.8981,126.6295,0.9993,243.8405,117.9757,1.0000,251.7383,134.5108,0.9999,265.0670,122.8576,0.9973,276.1270,139.7752,0.9989
