scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,380.2731,211.8634,0.9999,387.1889,252.2849,0.9993,412.6660,214.6350,0.9996,423.3434,249.9222,0.9991,442.6975,214.1655,0.9999,457.5883,250.8086,0.9996,355.0739,190.8421,0.9999,356.3798,233.3604,0.9990,404.8991,203.9256,0.9985,407.3682,237.2707,0.9986,438.0969,205.0351,0.9960,441.0631,234.6153,0.9969
1,379.8089,212.1057,0.9999,387.1858,252.2645,0.9991,412.4097,215.0029,0.9993,423.6589,250.4387,0.9985,442.7703,214.6297,0.9998,457.1788,251.7186,0.9958,354.3619,191.5823,0.9999,355.0281,233.6996,0.9965,404.7070,204.6548,0.9945,407.5893,237.6265,0.9980,438.1187,205.3905,1.0000,440.9113,235.3122,0.9999
2,379.7387,211.7816,0.9999,386.6035,252.3931,0.9997,411.8758,214.7643,0.9998,422.7199,250.1450,0.9997,442.1252,214.1956,0.9999,456.8527,251.1271,0.9991,354.7726,191.1358,0.9999,356.1267,233.6585,0.9978,404.6113,204.2257,0.9936,407.0431,237.5378,0.9993,437.5662,205.0447,0.9962,440.4723,234.9691,1.0000
3,379.7260,211.6786,0.9999,386.2401,252.3199,0.9997,412.0450,214.6906,0.9998,422.9887,249.9821,0.9995,442.1504,214.0874,1.0000,456.7898,250.9363,0.9994,354.7044,191.1069,0.9999,356.0355,233.5857,0.9981,404.5862,204.2229,0.9934,407.0361,237.3795,0.9993,437.5598,205.0067,0.9961,440.5021,234.8089,0.9952
4,380.0682,212.0926,0.9999,386.7566,252.4726,0.9995,412.2666,214.9204,0.9996,423.0780,250.3540,0.9994,442.3319,214.3221,0.9999,457.1393,251.2907,0.9985,354.7102,191.6704,0.9998,356.1317,233.9808,0.9952,404.7970,204.6915,0.9944,407.5601,237.5995,0.9983,437.7601,205.3380,1.0000,440.7408,234.9808,1.0000
5,379.7699,211.9499,0.9999,386.3115,252.5512,0.9996,412.2358,214.8039,0.9996,423.0802,250.3152,0.9994,442.4570,214.2608,0.9999,457.1100,251.2111,0.9988,354.6234,191.6314,0.9999,355.8855,233.8937,0.9967,404.7986,204.6932,0.9933,407.8378,237.5368,0.9975,438.0638,205.2817,1.0000,440.9480,234.9222,1.0000
6,379.8708,211.7185,0.9999,386.6348,252.2931,0.9995,412.4903,214.6059,0.9996,423.0101,250.1944,0.9996,442.4157,214.1432,0.9999,456.8199,251.1098,0.9990,354.5215,191.3624,0.9999,355.3162,233.4359,0.9965,404.4067,204.7311,0.9888,407.7835,237.4285,0.9976,437.9614,205.3435,0.9999,440.7655,235.0054,1.0000
7,379.7622,211.6995,0.9999,386.2432,251.9207,0.9998,412.2957,214.4755,0.9998,422.8053,250.2299,0.9997,442.2937,214.0056,0.9999,456.9596,251.1917,0.9989,354.5460,191.2422,0.9999,355.3481,233.6421,0.9963,404.5352,204.4510,0.9909,407.3351,237.4152,0.9990,437.7614,205.2017,1.0000,440.5878,234.9034,1.0000
