scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw1LH,paw1LH,paw1LH,paw2LF,paw2LF,paw2LF,paw3RF,paw3RF,paw3RF,paw4RH,paw4RH,paw4RH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,82.1969909667969,77.33865356445301,0.99976110458374,296.706939697266,76.20700073242199,0.999632954597473,225.346527099609,124.920654296875,0.999768495559692,205.867568969727,181.987670898438,0.999865472316742
1,82.1969909667969,77.33865356445301,0.99976110458374,296.706939697266,76.20700073242199,0.999632954597473,225.346527099609,124.920654296875,0.999768495559692,205.867568969727,181.987670898438,0.999865472316742
2,82.1969909667969,77.33865356445301,0.99976110458374,296.706939697266,76.20700073242199,0.999632954597473,225.346527099609,124.920654296875,0.999768495559692,205.867568969727,181.987670898438,0.999865472316742
3,79.3521423339844,78.38562011718699,0.998380303382874,296.697662353516,73.86111450195301,0.9999560713768,221.7548828125,124.84585571289102,0.995765507221222,212.849868774414,179.556640625,0.9999760389328
4,76.9673156738281,80.313003540039,0.999956607818604,291.953857421875,71.98124694824199,0.998911440372467,217.870742797852,124.77700805664102,0.999405682086945,214.461044311523,178.45376586914102,0.99956876039505
5,75.2138137817383,81.135925292969,0.999478220939636,288.684753417969,70.057357788086,0.999228835105896,214.418411254883,126.26834106445301,0.999854445457458,217.548065185547,176.05548095703102,0.999610304832458
6,73.6789779663086,82.13926696777301,0.999901354312897,282.502166748047,67.82052612304699,0.999918401241302,212.798004150391,123.59048461914102,0.99919182062149,218.023864746094,176.16339111328102,0.999333441257477
7,71.4768295288086,82.43948364257801,0.999294102191925,278.587890625,66.63623046875,0.999304711818695,210.119064331055,123.9921875,0.997893333435059,216.554428100586,174.507568359375,0.998984575271606
8,70.8098602294922,83.996246337891,0.999861598014832,274.763061523437,64.86088562011699,0.999890148639679,211.644485473633,125.06210327148398,0.998323678970337,216.04719543457,173.784393310547,0.999894261360168
9,72.3770904541016,88.24890136718699,0.999855160713196,270.917724609375,64.50817871093699,0.999573349952698,211.020843505859,127.29931640625,0.988905787467956,211.670516967773,173.38247680664102,0.999431490898132
10,78.5065765380859,97.90386962890602,0.999770045280456,265.923370361328,63.02322387695301,0.999641835689545,213.376159667969,129.878540039062,0.996129989624023,208.185241699219,171.045928955078,0.999910354614258
11,82.2576751708984,102.4345703125,0.999270081520081,261.947296142578,63.219818115234006,0.998983561992645,218.69709777832,154.791381835937,0.768118441104889,206.217697143555,171.75765991210898,0.998578071594238
12,85.2244873046875,109.30960083007801,0.999720215797424,259.563415527344,63.76687622070301,0.999527335166931,226.095596313477,155.18521118164102,0.884601950645447,204.249252319336,172.33837890625,0.999810755252838
13,94.5248794555664,115.45361328125,0.99962192773819,254.480545043945,64.393493652344,0.999747276306152,233.042449951172,156.71661376953102,0.995361685752869,201.131866455078,173.26446533203102,0.998820006847382
14,99.7436294555664,119.10031127929699,0.997134685516357,250.242904663086,64.949035644531,0.99981689453125,238.727310180664,158.834228515625,0.99454653263092,196.249481201172,174.414306640625,0.999634981155396
15,106.17253112793,124.64593505859398,0.999946177005768,247.402938842773,64.450271606445,0.999983012676239,247.786712646484,159.004608154297,0.997641146183014,191.575241088867,174.319793701172,0.999886929988861
16,114.423278808594,123.4091796875,0.999973475933075,243.967132568359,65.984146118164,0.999915063381195,255.584625244141,159.80426025390602,0.998707592487335,188.185852050781,174.08843994140602,0.999997198581696
